autonum,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,appr_comm_id,appr_hh_code,appr_n_accpt,appr_n_rfs,abordaje_vivienda_complete,,,,
6,baseline_visit_arm_1,,,22,117,,,2,,,,
7,baseline_visit_arm_1,,,22,101,,,2,,,,
8,baseline_visit_arm_1,,,22,450,,,2,,,,
9,baseline_visit_arm_1,,,22,108,,,2,,,,
10,baseline_visit_arm_1,,,22,107,,,2,,,,
11,baseline_visit_arm_1,,,22,111,,,2,,,,
12,baseline_visit_arm_1,,,22,112,,,2,,,,
13,baseline_visit_arm_1,,,22,102,,,2,,,,
14,baseline_visit_arm_1,,,22,103,,,2,,,,
15,baseline_visit_arm_1,,,22,105,,,2,,,,
16,baseline_visit_arm_1,,,22,120,,,2,,,,
17,baseline_visit_arm_1,,,22,121,,,2,,,,
18,baseline_visit_arm_1,,,22,850,,,2,,,,
19,baseline_visit_arm_1,,,22,851,,,2,,,,
451,baseline_visit_arm_1,,,,,,,0,,,,
