Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
base_ind_fever_48h,encuesta_basal_individuo,,radio,¿Ha tenido fiebre en las últimas 48 horas?,"1, Si | 2, No",,,,,,,y,,,,,
base_ind_hlth_estab,encuesta_basal_individuo,,radio,Ya ha ido al EESS y le tomó GG?,"1, Si | 2, No",,,,,,[base_ind_fever_48h] = '1',y,,,,,
base_ind_gg_rslt,encuesta_basal_individuo,,radio,"Si ya ha ido al EESS, cual fue el resultado de la GG?","1, Positivo | 2, Negativo | 98, No sabe",,,,,,[base_ind_hlth_estab] = '1',y,,,,,
base_ind_case_reg_remind,encuesta_basal_individuo,,descriptive,Rellenar el formato de registro de casos,,,,,,,[base_ind_gg_rslt] = '1',,,,,,
base_ind_refer_gg,encuesta_basal_individuo,,radio,"¿Se derivó al EESS para la toma GG?

","1, Si | 2, No",,,,,,[base_ind_hlth_estab] = '2',y,,,,,
base_ind_trvl,encuesta_basal_individuo,,radio,"¿Viajó usted fuera de la comunidad en el último mes, excluyendo los viajes la semana pasada?","1, Si | 2, No",,,,,,,y,,,,,
base_ind_trvl_on,encuesta_basal_individuo,,radio,¿En alguno de los viajes tuvo que pernoctar (pasar la noche)?,"1, Si | 2, No",,,,,,[base_ind_trvl] = '1',y,,,,,
base_ind_trvl_destin,encuesta_basal_individuo,,text,Cuál fue el destino del viaje más reciente?,,"País, departamento, distrito, localidad",,,,,[base_ind_trvl] = '1',y,,,,,
base_ind_othr_house,encuesta_basal_individuo,,radio,¿Tiene otra residencia o hay otro lugar donde pasa el tiempo (despierto o dormido)?,"1, Sí, y la otra residencia es mi residencia principal | 2, Sí, pero la otra residencia es mi residencia secundaria | 3, No tengo otra residencia",,,,,,,y,,,,,
base_ind_othhse_com,encuesta_basal_individuo,,dropdown,¿En qué comunidad se encuentra la otra residencia?,"00, Fuera del área de estudio | 01, 01 - NINA RUMI | 02, 02 - ZUNGARO COCHA-CORRIENTILLO | 03, 03 - CAHUIDE | 04, 04 - 13 DE FEBRERO | 05, 05 - EX PETROLERO I ZONA | 06, 06 - SAMITO | 07, 07 - DIAMANTE AZUL | 08, 08 - SAN LUCAS | 09, 09 - MORALILLO | 10, 10 - PEÃA NEGRA | 11, 11 - NUEVO HORIZONTE | 12, 12 - LIBERTAD | 13, 13 - PUERTO ALMENDRA | 14, 14 - TARAPOTO | 15, 15 - NUEVO MILAGRO | 16, 16 - SAN ANTONIO | 17, 17 - MOMONCILLO | 18, 18 - PAUJIL I ZONA | 20, 20 - HUATURI | 21, 21 - SALVADOR (PAVA QUEVADA) | 22, 22 - PALO SECO | 23, 23 - NUEVO SAN ANTONIO | 24, 24 - LOBOYACU | 25, 25 - SANTO TOMAS DE CAPIRONAL | 26, 26 - PISCO | 27, 27 - SAN ANTONIO | 28, 28 - MISHANA | 29, 29 - FRAY MARTIN | 31, 31 - FLOR DE AGOSTO | 32, 32 - ALMIRANTE MIGUEL GRAU",,,,,,[base_ind_othr_house] = '1' or [base_ind_othr_house] = '2',y,,,,,
base_ind_othhse_id,encuesta_basal_individuo,,text,Código de la casa de la otra residencia,,Dejar en blanco si es desconocido,integer,100,999,,[base_ind_othhse_com] = '01' or [base_ind_othhse_com] = '02' or [base_ind_othhse_com] = '03' or [base_ind_othhse_com] = '04' or [base_ind_othhse_com] = '05' or [base_ind_othhse_com] = '06' or [base_ind_othhse_com] = '07' or [base_ind_othhse_com] = '08' or [base_ind_othhse_com] = '09' or [base_ind_othhse_com] = '10' or [base_ind_othhse_com] = '11' or [base_ind_othhse_com] = '12' or [base_ind_othhse_com] = '13' or [base_ind_othhse_com] = '14' or [base_ind_othhse_com] = '15' or [base_ind_othhse_com] = '16' or [base_ind_othhse_com] = '17' or [base_ind_othhse_com] = '18' or [base_ind_othhse_com] = '20' or [base_ind_othhse_com] = '21' or [base_ind_othhse_com] = '22' or [base_ind_othhse_com] = '23' or [base_ind_othhse_com] = '24' or [base_ind_othhse_com] = '25' or [base_ind_othhse_com] = '26' or [base_ind_othhse_com] = '27' or [base_ind_othhse_com] = '28' or [base_ind_othhse_com] = '29' or [base_ind_othhse_com] = '31' or [base_ind_othhse_com] = '32',,,,,, @PLACEHOLDER='123' @CHARLIMIT=3
mhq_participant_code,historia_clinica,FILIACION,text,Código Participante ,,XXYYY,,,,,,,,,,, @PLACEHOLDER='XXYYY' @CHARLIMIT=5
mhq_age,historia_clinica,,text,Edad,,En años o meses e indicar las unidades abajo,integer,0,125,,,y,,,,,
mhq_age_units,historia_clinica,,dropdown,Unidades de la edad,"1, Años | 2, Meses",,,,,,,,,,,,
mhq_sex,historia_clinica,,radio,Sexo,"1, Hombre | 2, Mujer",,,,,,,y,,,,,
mhq_civ_stat,historia_clinica,,radio,ESTADO CIVIL,"1, Soltero | 2, Casado | 3, Viudo | 4, Divorciado | 5, Conviviente",,,,,,,y,,,,,
mhq_race,historia_clinica,,radio,RAZA,"1, Mestizo | 2, Afrodescendiente | 3, Asiático | 4, Nativo Amazónico",,,,,,,y,,,,,
mhq_bday,historia_clinica,,text,Fecha de nacimiento,,,date_dmy,,,y,,y,,,,,
mhq_phone,historia_clinica,,text,TELEFONO,,,integer,,,y,,y,,,,,
mhq_fam,historia_clinica,,text,FAMILIAR O PERSONA DE REFERENCIA,,,,,,,,y,,,,,
mhq_tele_pref,historia_clinica,,text,TELEFONO DE FAMILIAR O PERSONA DE REFERENCIA,,,,,,,,y,,,,,
mhq_motive,historia_clinica,MOTIVO DE CONSULTA,radio,Motivo de Consulta,"1, Asintomático | 2, Sintomático",,,,,,,y,,,,, @DEFAULT = '1'
mhq_motive_descrip,historia_clinica,,checkbox,Motivo,"1, Orina oscura (roja o negra) | 2, Ojos y/o piel amarillentos | 3, Palidez (Posheco) | 4, Fatiga | 5, Mareos | 6, Falta de aire | 7, Dolor de espalda | 8, Aumento del ritmo cardiaco (taquicardia) | 9, Fiebre | 10, Nauseas | 11, Vómitos | 99, Otro(s)",,,,,,[mhq_motive]='2',y,,,,,
mhq_motive_oth,historia_clinica,,text,Especificar otro(s),,,,,,,[mhq_motive_descrip(99)] = '1',y,,,,,
mhq_bf_urine,historia_clinica,Funciones Biológicas,radio,Orina,"1, Si | 2, No",Ha cambiado el color de tu orina recientemente?,,,,,,y,,,,, @DEFAULT = '2'
mhq_aler_vax,historia_clinica,"ALERGIAS
¿Ha tenido alguna vez una reacción alérgica o anafiláctica (opresión en el pecho, dificultad para respirar o ronchas) a...
",radio,Vacunas,"1, Si | 2, No",,,,,,,y,,,alergias,,
mhq_aler_meds,historia_clinica,,radio,Otras medicinas,"1, Si | 2, No",,,,,,,y,,,alergias,,
mhq_aler_subst,historia_clinica,,radio,Otras sustancias,"1, Si | 2, No",,,,,,,y,,,alergias,,
mhq_rxn_1,historia_clinica,,notes,"Mes/Año, causa y descripción de la reacción a la vacuna:",,,,,,,[mhq_aler_vax] = '1',,,,,,
mhq_rxn_2,historia_clinica,,notes,"Mes/Año, causa y descripción de la reacción a la medicina:",,,,,,,[mhq_aler_meds] = '1',,,,,,
mhq_rxn_3,historia_clinica,,notes,"Mes/Año, causa y descripción de la reacción a la otra sustancia:",,,,,,,[mhq_aler_subst] = '1',,,,,,
mhq_meds_curr,historia_clinica,Medicamentos,radio,Está usted tomando actualmente algún tipo de medicamento,"1, Si | 2, No",,,,,,,y,,,,,
mhq_meds_yes,historia_clinica,,notes,"Si es sí, especificar",,Especifique los medicamentos,,,,,[mhq_meds_curr] = '1',,,,,,
mhq_hc_hosp,historia_clinica,"HISTORIA CLINICA
¿Ha tenido alguna vez alguno de los siguientes: ",radio,Hospitalizaciones por razones diferentes a cirugía?,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,(excluyendo parto vaginal normal
mhq_hc_surg,historia_clinica,,radio,Alguna cirugía?,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,
mhq_hc_anem,historia_clinica,,radio,Anemia (conteo sanguíneo bajo)?,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,
mhq_hc_transf,historia_clinica,,radio,Transfusión sanguínea/productos sanguíneos?,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,
mhq_hc_tb,historia_clinica,,radio,Tuberculosis?,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,
mhq_hc_asthma,historia_clinica,,radio,Asma o sibilancias?,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,
mhq_hc_diab,historia_clinica,,radio,Diabetes?,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,
mhq_hc_hepat,historia_clinica,,radio,Hepatitis o enfermedad renal (ictericia)?,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,
mhq_hc_bldstool,historia_clinica,,radio,Sangre en heces?,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,
mhq_hc_cancer,historia_clinica,,radio,Tumores/cáncer?,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,
mhq_hc_hemorr,historia_clinica,,radio,Hematomas o problemas hemorrágicos,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,
mhq_hc_epil,historia_clinica,,radio,Convulsiones?,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,
mhq_hc_drugs,historia_clinica,,radio,Antecedentes de consumo de drogas o abuso en el consumo de alcohol?,"1, Si | 2, No",,,,,,,y,,,historia_clinica,,
mhq_drug_spec,historia_clinica,,notes,"Si hay consumo de drogas, especificar cuál, vía de uso y tiempo; en caso de alcohol cantidad x día:",,,,,,,[mhq_hc_drugs]= '1',y,,,,,
mhq_hc_hypert,historia_clinica,Otras condiciones de importancia medica:,radio,Hipertensión Arterial,"1, Si | 2, No",,,,,,,y,,,otras_condiciones,,
mhq_hc_liver,historia_clinica,,radio,Cirrosis Hepática,"1, Si | 2, No",,,,,,,y,,,otras_condiciones,,
mhq_oth_cond,historia_clinica,,notes,Otras condiciones de importancia medica,,,,,,,,,,,,,
mhq_preg,historia_clinica,"SOLAMENTE MUJERES
",radio,¿Está usted actualmente embarazada? ,"1, Si | 2, No",,,,,,[mhq_sex] = '2',y,,,,,
mhq_brstfeed,historia_clinica,,radio,¿Está actualmente amamantando? ,"1, Si | 2, No",,,,,,[mhq_sex] = '2',y,,,,,
mhq_last_per,historia_clinica,,text,¿Cuándo empezó tu último periodo?,,"Sí no sabe o si no ha empezado, dejalo vacio",date_dmy,,,,[mhq_sex] = '2',,,,,,
mhq_birth_cont,historia_clinica,,radio,¿Utiliza un método de control de natalidad?,"1, Si | 2, No",,,,,,[mhq_sex] = '2',y,,,,,
mhq_birth_cont_yes,historia_clinica,,radio,"Si la respuesta es sí, indicar tipo","1, pastillas | 2, intramuscular | 3, subdermica | 99, otro",método de control de natalidad,,,,,[mhq_birth_cont] = '1',,,,,,
mhq_birth_cont_spec,historia_clinica,,notes,Especificar otro,,,,,,,[mhq_birth_cont_yes] = '99',,,,,,
mhq_blood_p_ps,historia_clinica,"EXAMEN GENERAL

FUNCIONES VITALES  
",text,Presión arterial sistolica:,,mmHg,integer,1,200,,,y,,,,,
mhq_blood_p_pd,historia_clinica,,text,Presión arterial diastolica:,,mmHg,integer,1,120,,,y,,,,,
mhq_heart_rate,historia_clinica,,text,FC:,,,integer,1,200,,,y,,,,,
mhq_resp_rate,historia_clinica,,text,FR:,,,integer,1,100,,,y,,,,,
mhq_weight,historia_clinica,,text,Peso:,,kg,number_1dp,1,200,,,y,,,,,
mhq_temp,historia_clinica,,text,T°:,,Centigrados,number_1dp,34,42,,,y,,,,,
mhq_gen_app,historia_clinica,"Considerar  N: Normal , A: Anormal; si es Anormal especificar",radio,ASPECTO GENERAL,"1, N | 2, A","Considerar  N: Normal , A: Anormal; si es Anormal especificar",,,,,,y,,,,,
mhq_gen_app_abn,historia_clinica,,notes,Especificar lo que es anormal,,,,,,,[mhq_gen_app] = '2',,,,,,
mhq_skin,historia_clinica,,radio,PIEL Y TCSC,"1, N | 2, A",,,,,,,y,,,,,
mhq_skin_abn,historia_clinica,,notes,Especificar lo que es anormal,,,,,,,[mhq_skin] = '2',,,,,,
mhq_extremi,historia_clinica,,radio,EXTREMIDADES,"1, N | 2, A",,,,,,,y,,,,,
mhq_extremi_abn,historia_clinica,,notes,Especificar lo que es anormal,,,,,,,[mhq_extremi] = '2',,,,,,
mhq_lymph,historia_clinica,,radio,SIST.LINFÁTICO,"1, N | 2, A",,,,,,,y,,,,,
mhq_lymph_abn,historia_clinica,,notes,Especificar lo que es anormal,,,,,,,[mhq_lymph] = '2',,,,,,
mhq_reg_head,historia_clinica,"EXAMEN REGIONAL

Cabeza",radio,Craneo,"1, N | 2, A",,,,,,,y,,,cabeza,,
mhq_reg_eyes,historia_clinica,,radio,Ojos,"1, N | 2, A",,,,,,,y,,,cabeza,,
mhq_reg_ears,historia_clinica,,radio,Oidos,"1, N | 2, A",,,,,,,y,,,cabeza,,
mhq_reg_nose,historia_clinica,,radio,Nariz,"1, N | 2, A",,,,,,,y,,,cabeza,,
mhq_reg_mouth,historia_clinica,,radio,Boca,"1, N | 2, A",,,,,,,y,,,cabeza,,
mhq_reg_throat,historia_clinica,,radio,Garganta,"1, N | 2, A",,,,,,,y,,,cabeza,,
mhq_reg_cabeza_abn,historia_clinica,,notes,Especificar lo que es anormal,,,,,,,[mhq_reg_eyes] = '2' or [mhq_reg_ears] = '2' or [mhq_reg_nose] = '2' or [mhq_reg_throat] = '2' or [mhq_reg_head] = '2' or [mhq_reg_mouth] = '2',,,,,,
mhq_neck,historia_clinica,,radio,CUELLO,"1, N | 2, A",,,,,,,y,,,,,
mhq_neck_abn,historia_clinica,,notes,Especificar lo que es anormal,,,,,,,[mhq_neck] = '2',,,,,,
mhq_breasts,historia_clinica,,radio,MAMAS,"1, N | 2, A",No realizado,,,,,,,,,,,
mhq_breasts_abn,historia_clinica,,notes,Especificar lo que es anormal,,,,,,,[mhq_breasts] = '2',,,,,,
mhq_chest,historia_clinica,,radio,TORAX Y PULMONES,"1, N | 2, A",,,,,,,y,,,,,
mhq_chest_abn,historia_clinica,,text,Especificar lo que es anormal,,,,,,,[mhq_chest] = '2',,,,,,
mhq_cardio,historia_clinica,,radio,CARDIOVASCULAR,"1, N | 2, A",,,,,,,y,,,,,
mhq_cardio_abn,historia_clinica,,text,Especificar lo que es anormal,,,,,,,[mhq_cardio] = '2',,,,,,
mhq_gastro,historia_clinica,,radio,GASTROINTESTINAL,"1, N | 2, A",,,,,,,y,,,,,
mhq_gastro_abn,historia_clinica,,text,Especificar lo que es anormal,,,,,,,[mhq_gastro] = '2',,,,,,
mhq_genit,historia_clinica,,radio,GENITO-URINARIO,"1, N (urinario) | 2, A (urinario)",No realizado,,,,,,,,,,,
mhq_genit_abn,historia_clinica,,text,Especificar lo que es anormal,,,,,,,[mhq_genit] = '2',,,,,,
mhq_nerve,historia_clinica,,radio,SISTEMA NERVIOSO CENTRAL,"1, N | 2, A",,,,,,,,,,,,
mhq_nerve_abn,historia_clinica,,text,Especificar lo que es anormal,,,,,,,[mhq_nerve] = '2',,,,,,
mhq_psych,historia_clinica,,radio,PSIQUIATRICO,"1, N | 2, A",,,,,,,,,,,,
mhq_psych_abn,historia_clinica,,text,Especificar lo que es anormal,,,,,,,[mhq_psych] = '2',,,,,,
mhq_diag_impr,historia_clinica,,notes,IMPRESIÓN DIAGNOSTICA,,,,,,,,y,,,,,
mhq_work_plan,historia_clinica,,notes,PLAN DE TRABAJO,,,,,,,,y,,,,,
mhq_init,historia_clinica,,text,Iniciales del Filiador:,,,alpha_only,,,,,y,,,,, @CHARLIMIT=3
mhq_sign_date,historia_clinica,,text,Fecha de la evaluación,,,date_dmy,,,,,,,,,,
drug_date,intervencion,Identificación vivienda,text,Fecha de primer día de intervención,,,date_dmy,,,,,,LV,,,,
drug_year,intervencion,,dropdown,Momento/evento de la colección de datos,"1, Ciclo 1 | 2, Ciclo 2 | 3, Ciclo 3",,,,,,,y,LV,,,,
drug_round,intervencion,,radio,Ronda,"1, a | 2, b",,,,,,,y,LV,,,,
drug_community_code,intervencion,,dropdown,Código comunidad,"01, 01 - NINA RUMI | 02, 02 - ZUNGARO COCHA-CORRIENTILLO | 03, 03 - CAHUIDE | 04, 04 - 13 DE FEBRERO | 05, 05 - EX PETROLERO I ZONA | 06, 06 - SAMITO | 07, 07 - DIAMANTE AZUL | 08, 08 - SAN LUCAS | 09, 09 - MORALILLO | 10, 10 - PEÃA NEGRA | 11, 11 - NUEVO HORIZONTE | 12, 12 - LIBERTAD | 13, 13 - PUERTO ALMENDRA | 14, 14 - TARAPOTO | 15, 15 - NUEVO MILAGRO | 16, 16 - SAN ANTONIO | 17, 17 - MOMONCILLO | 18, 18 - PAUJIL I ZONA | 20, 20 - HUATURI | 21, 21 - SALVADOR (PAVA QUEVADA) | 22, 22 - PALO SECO | 23, 23 - NUEVO SAN ANTONIO | 24, 24 - LOBOYACU | 25, 25 - SANTO TOMAS DE CAPIRONAL | 26, 26 - PISCO | 27, 27 - SAN ANTONIO | 28, 28 - MISHANA | 29, 29 - FRAY MARTIN | 31, 31 - FLOR DE AGOSTO | 32, 32 - ALMIRANTE MIGUEL GRAU",,autocomplete,,,,,y,LV,,,,
drug_hh_code,intervencion,,text,Código vivienda ,,,,,,,,y,LV,,,, @CHARLIMIT=3 @PLACEHOLDER='123'
drug_intervention,intervencion,,radio,¿Confirma que es una vivienda seleccionada para la intervención?,"1, Si | 2, No",,,,,,,y,LV,,,,
drug_interviewer,intervencion,,dropdown,Encuestador,"1, A | 2, B",,,,,,,y,LV,,,,
drug_participant_code,intervencion,Identificación participante,text,Código Participante,,,,,,,[drug_intervention] = '1',y,LV,,,, @PLACEHOLDER='XXYYY' @CHARLIMIT=5
drug_date_bday,intervencion,,text,Fecha de nacimiento,,,date_dmy,,,,[drug_intervention] = '1',y,LV,,,,
drug_age,intervencion,,calc,Edad en años,"if([drug_intervention]='1', rounddown(datediff([drug_date_bday], [drug_date], 'y')),'')",,,,,,[drug_intervention] = '1',y,LV,,,, @READONLY
drug_age_2,intervencion,,calc,Edad en meses,"if([drug_age] = '0', rounddown(datediff([drug_date_bday], [drug_date], 'M')) - (rounddown(datediff([drug_date_bday], [drug_date], 'y')) * 12), '')",,,,,,[drug_age] = 0,y,LV,,,, @READONLY
drug_sex,intervencion,,radio,Sexo,"1, Hombre | 2, Mujer",,,,,,[drug_intervention] = '1',y,LV,,,,
drug_day_of_intervention,intervencion,,dropdown,Seleccione día de la intervención,"0, Inicio de intervención (revisión de elegibilidad, primera dosis de medicamentos) | 1, Primer día seguimiento post-inicio de intervención | 2, Segundo día seguimiento post-inicio de intervención | 3, Tercero día seguimiento post-inicio de intervención | 4, Cuarto día seguimiento post-inicio de intervención | 5, Quinto día seguimiento post-inicio de intervención | 6, Sexto día seguimiento post-inicio de intervención",,,,,,[drug_intervention] = '1',y,LV,,,,
drug_participant_present,intervencion,Revisión de los Criterios de Elegibilidad,radio,¿Participante está presente?,"1, Si | 2, No",,,,,,[drug_intervention] = '1',y,LV,,,,
drug_habitual_residence,intervencion,,radio,Participante tiene residencia habitual dentro de esta comunidad,"1, Si | 2, No",,,,,,[drug_participant_present] = '1' and [drug_round] = '1',y,LV,,,,
drug_hb_greater_9,intervencion,,radio,Participante tiene hemoglobina ≥ 9 g/dL,"1, Si | 2, No",,,,,,[drug_habitual_residence] = '1' and [drug_round] = '1',y,LV,,,,
drug_hb_value,intervencion,,text,Valor de Hb (g/dL),,,number_1dp,,,,[drug_habitual_residence] = '1' and [drug_round] = '1',y,LV,,,,
drug_known_hp_ar,intervencion,,radio,Participante tiene hipersensibilidad conocida o reacción adversa a la cloroquina y/o a las 8-aminoquinolinas (tafenoquina o primaquina),"1, Si | 2, No",,,,,,[drug_hb_greater_9] = '1',y,LV,,,,
drug_antimalarial_drug,intervencion,,radio,"Participante tomó en los últimos 4 semanas algún antimalárico (mefloquina, mefloquina-artesunato, artemeter-lumefantrina, artesunato inyectable, tafenoquina, primaquina, cloroquina u otro antimalárico)","1, Si | 2, No",,,,,,[drug_known_hp_ar] = '2',y,LV,,,,
drug_change_vision_retina,intervencion,,radio,Participante tiene antecedentes de alteraciones en retina o campo visual por historia clínica,"1, Si | 2, No",,,,,,[drug_antimalarial_drug] = '2' and [drug_round] = '1',y,LV,,,,
drug_g6pd_available,intervencion,,radio,Participante tiene resultado de la prueba G6PD disponible,"1, Si | 2, No",,,,,,[drug_change_vision_retina] = '2' and [drug_round] = '1',y,LV,,,,
drug_g6pd_result_cuant,intervencion,,calc,Resultado cuantitativo G6PD del participante,"if([drug_change_vision_retina] = '2' and [drug_round] = '1', [base_ind_g6pd_result], '')",Jalar de la encuentas basal base_ind_g6pd_result,,,,,[drug_change_vision_retina] = '2' and [drug_round] = '1',y,LV,,,, @READONLY
drug_g6pd_result_cual,intervencion,,text,Resultado cualitativo G6PD del participante,,jalar dato cualitativo clasificacion,,,,,[drug_change_vision_retina] = '2' and [drug_round] = '1',y,LV,,,," @READONLY @CALCTEXT(if([drug_change_vision_retina] = '2' and [drug_round] = '1', [base_ind_g6pd_class], ''))"
drug_meets_g6pd_criteria,intervencion,,text,Participante cumple el criterio G6PD según edad  ,,,,,,,[drug_change_vision_retina] = '2' and [drug_round] = '1',y,LV,,,," @READONLY @CALCTEXT(if([drug_change_vision_retina] = '2' and [drug_round] = '1', if(([drug_g6pd_result_cuant] >= 6.1 and [drug_age] >= 16) or ([drug_g6pd_result_cuant] >= 4.1 and ([drug_age] < 16 and [drug_age] >= 0.5)), 'SI CUMPLE', 'NO CUMPLE'), ''))"
drug_breastfeeding,intervencion,,radio,Participante es mujer y está dando de lactar a un bebé con deficiencia documentada de G6PD o estado desconocido de G6PD,"1, Si | 2, No",,,,,,[drug_sex] = '2' and [drug_meets_g6pd_criteria] = 'SI CUMPLE',y,LV,,,,
drug_pregnant,intervencion,,radio,Participante es mujer y sabe que está embarazada ,"1, Si | 2, No",Embarazo evidente o hay una prueba de embarazo positiva no realizada por el equipo de investigación,,,,,[drug_sex] = '2' and [drug_meets_g6pd_criteria] = 'SI CUMPLE' and [drug_breastfeeding] = '2',y,LV,,,,
drug_absence_menstruation,intervencion,,radio,"Participante es mujer, y afirma ausencia de menstruación en las últimas 4 semanas ","1, Si | 2, No | 96, No Aplica",,,,,,[drug_pregnant] = '2',y,LV,,,,
drug_agree_pregnancy_test,intervencion,,radio,Participante acepta realizarse la prueba de embarazo,"1, Si | 2, No",,,,,,[drug_absence_menstruation] = '1',y,LV,,,,
drug_be_pregnant,intervencion,,radio,Participante está embarazada de acuerdo a la prueba de embarazo,"1, Si | 2, No",,,,,,[drug_agree_pregnancy_test] = '1',y,LV,,,,
drug_preg_rslt,intervencion,,descriptive,Agrega foto del resultado,,,,,,,"[drug_be_pregnant]=""1""",,,,,,
drug_eligibility_review_conclus,intervencion,,text,Conclusión de la revisión de la elegibilidad,,,,,,,[drug_sex]<>'',,LV,,,," @READONLY @CALCTEXT(if(([drug_sex] = 1 and [drug_meets_g6pd_criteria] = ""SI CUMPLE"") or ([drug_sex] = 2 and ([drug_absence_menstruation] = 2 or [drug_be_pregnant] = 2)), ""SI CUMPLE LOS REQUISITOS DE ELEGIBILIDAD"",""""))"
drug_medications,intervencion,Intervención,text,Esquema de medicamentos a administrar,,,,,,,[drug_day_of_intervention] = '0',y,LV,,,," @READONLY @CALCTEXT(if([drug_day_of_intervention] = '0' and (([drug_age] = 0 and [drug_age_2] >= 6) or ([drug_age] >= 1)), if([drug_hb_value] >= 6.1 and [drug_age] >=16 and [drug_round] = '1' and ([drug_sex] = '1' or ([drug_sex] = '2' and ([drug_absence_menstruation] = '2' or [drug_pregnant] = '2' or [drug_be_pregnant] = '2'))), ""Cloroquina (3 días) + Tafenoquina (1 día)"", 
if([drug_hb_value] >= 6.1 and [drug_age] >=16 and [drug_round] = '2' and ([drug_sex] = '1' or ([drug_sex] = '2' and ([drug_absence_menstruation] = '2' or [drug_pregnant] = '2' or [drug_be_pregnant] = '2'))), ""Cloroquina (1 día) + Tafenoquina (1 día)"",
if(([drug_hb_value] >= 6.1 and [drug_age] < 16) or ([drug_hb_value] >= 4.1 and [drug_hb_value] < 6.0 and [drug_age] >= 0.5) and [drug_round] = '1' and ([drug_sex] = '1' or ([drug_sex] = '2' and ([drug_absence_menstruation] = '2' or [drug_pregnant] = '2' or [drug_be_pregnant] = '2'))), ""Cloroquina (3 días) + Primaquina (7 días)"",
if(([drug_hb_value] >= 6.1 and [drug_age] < 16) or ([drug_hb_value] >= 4.1 and [drug_hb_value] < 6.0 and [drug_age] >= 0.5) and [drug_round] = '2' and ([drug_sex] = '1' or ([drug_sex] = '2' and ([drug_absence_menstruation] = '2' or [drug_pregnant] = '2' or [drug_be_pregnant] = '2'))), ""Cloroquina (1 día) + Primaquina (7 días)"",""NO CLASIFICADO"")))), ''))"
drug_p_weight,intervencion,,text,Peso del participante (kg),,,,,,,[drug_round] = '1' and [drug_day_of_intervention] = '0',y,LV,,,,"if([drug_round] = '2', [previous-event-name][drug_p_weight], '')"
drug_medicine_1,intervencion,,text,Medicamento 1,,,,,,,[drug_day_of_intervention] = '0',y,LV,,,," @CALCTEXT(if([drug_day_of_intervention] = '0' and (([drug_age] = 0 and [drug_age_2] >= 6) or ([drug_age] >= 1)), if([drug_medications] = ""Cloroquina (3 días) + Tafenoquina (1 día)"" or  [drug_medications] = ""Cloroquina (1 día) + Tafenoquina (1 día)"" or [drug_medications] = "" Cloroquina (3 día) + Primaquina (7 día)"" or [drug_medications] = "" Cloroquina (1 día) + Primaquina (7 días)"", ""Cloroquina"", "" ""), ''))"
drug_1st_dose_adminis_1,intervencion,,radio,¿La primera dosis fue administrada?,"1, Si | 2, No",,,,,,"[drug_medicine_1] = '""Cloroquina""'",y,LV,,,,
drug_administration_date_1,intervencion,,text,Fecha de administración,,,date_dmy,,,,[drug_1st_dose_adminis_1] = '1',y,LV,,,,
drug_dose_in_mg_1,intervencion,,text,Dosis en mg por día,,,,,,,[drug_1st_dose_adminis_1] = '1',y,LV,,,,
drug_tablets_num_1,intervencion,,dropdown,Cantidad en tabletas administradas,"1, 0.25 | 2, 0.5 | 3, 0.75 | 4, 1 | 5, 1.25 | 6, 1.5 | 7, 1.75 | 8, 2 | 9, 2.25 | 10, 2.5 | 11, 2.75 | 12, 3 | 13, 3.25 | 14, 3.5 | 15, 3.75 | 16, 4",,,,,,[drug_1st_dose_adminis_1] = '1',y,LV,,,,
drug_observed_directly_1,intervencion,,radio,¿La dosis fue observada directamente?,"1, Si | 2, No",,,,,,[drug_1st_dose_adminis_1] = '1',y,LV,,,,
drug_vomit_15min_1,intervencion,,radio,¿Vomitó antes de los 15 minutos de la ingestión de la dosis?,"1, Si | 2, No",,,,,,[drug_1st_dose_adminis_1] = '1',y,LV,,,,
drug_additional_dose_1,intervencion,,radio,¿Se tomó dosis única adicional a causa del vómito? ,"1, Si | 2, No",,,,,,[drug_vomit_15min_1] = '1',y,LV,,,,
drug_vomit_30min_1,intervencion,,radio,¿Vomitó antes de los 30 minutos de la ingestión de la dosis?,"1, Si | 2, No",,,,,,[drug_vomit_15min_1] = '1',y,LV,,,,
drug_half_add_dose_1,intervencion,,radio,¿Se tomó la mitad de la dosis única adicional a causa del vómito? ,"1, Si | 2, No",,,,,,[drug_vomit_30min_1] = '1',y,LV,,,,
