village_district,order,village,district,province,basin,selected,dist_iquitos,population,access,pfal2013,pmal2013,pviv2013,malaria2013,pfal2014,pmal2014,pviv2014,malaria2014,pfal2015,pmal2015,pviv2015,malaria2015,pfal2016,pmal2016,pviv2016,malaria2016,pfal2017,pviv2017,malaria2017,pfal2018,pviv2018,malaria2018,pfal2019,pviv2019,malaria2019,api.pfal2013,api.pfal2014,api.pfal2015,api.pfal2016,api.pfal2017,api.pfal2018,api.pfal2019,api.pmal2013,api.pmal2014,api.pmal2015,api.pmal2016,api.pviv2013,api.pviv2014,api.pviv2015,api.pviv2016,api.pviv2017,api.pviv2018,api.pviv2019,api.malaria2013,api.malaria2014,api.malaria2015,api.malaria2016,api.malaria2017,api.malaria2018,api.malaria2019,XGD,YGD,dist_minutes_cat3,dist_minutes_cat2,dist_minutes_cat1,dist_minutes_all,urban,landc,cobVeg,cobVeg_simbol,pop2k,pop5k
MISHANA_SAN JUAN BAUTISTA,48,MISHANA,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,64051,62,NA,6,0,22,28,15,0,47,62,8,0,33,41,3,0,3,6,1,4,5,2,7,9,0,4,4,96.77419355,241.9354839,129.0322581,48.38709677,16.12903226,32.25806452,0,0,0,0,0,354.8387097,758.0645161,532.2580645,48.38709677,64.51612903,112.9032258,64.51612903,451.6129032,1000,661.2903226,96.77419355,80.64516129,145.1612903,64.51612903,-73.49216646,-3.88150894,476,460,429,429,0,2,Agricultura costera y andina,Agri,115.7491763,706.7066034
SHIRIARA_IQUITOS,49,SHIRIARA,IQUITOS,MAYNAS,Nanay,No,59104,302,367.8599993,79,0,261,340,71,0,301,372,54,0,150,204,51,0,103,154,60,182,242,18,64,82,0,12,12,261.589404,235.0993377,178.807947,168.8741722,198.6754967,59.60264901,0,0,0,0,0,864.2384106,996.6887417,496.6887417,341.0596026,602.6490066,211.9205298,39.73509934,1125.827815,1231.788079,675.4966887,509.9337748,801.3245033,271.5231788,39.73509934,-73.49553347,-3.83474047,604,588,138,138,0,2,Agricultura costera y andina,Agri,151.4193501,808.0659926
AYACUCHO_IQUITOS,50,AYACUCHO,IQUITOS,MAYNAS,Nanay,No,62073,22,NA,0,0,8,8,0,0,8,8,1,0,2,3,1,0,1,2,3,6,9,1,5,6,1,4,5,0,0,45.45454545,45.45454545,136.3636364,45.45454545,45.45454545,0,0,0,0,363.6363636,363.6363636,90.90909091,45.45454545,272.7272727,227.2727273,181.8181818,363.6363636,363.6363636,136.3636364,90.90909091,409.0909091,272.7272727,227.2727273,-73.51997526,-3.83039786,637,621,18,18,0,2,Matorral arbustivo,Ma,147.7609835,782.9016837
SAN JUAN DE YUTO_SAN JUAN BAUTISTA,51,SAN JUAN DE YUTO,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,32,NA,1,0,5,6,0,0,7,7,3,0,12,15,0,0,3,3,2,1,3,0,3,3,0,0,0,31.25,0,93.75,0,62.5,0,0,0,0,0,0,156.25,218.75,375,93.75,31.25,93.75,0,187.5,218.75,468.75,93.75,93.75,93.75,0,-73.54987237,-3.90104792,NA,NA,NA,NA,NA,NA,NA,NA,123.1933524,684.425899
PORVENIR_SAN JUAN BAUTISTA,52,PORVENIR,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,66,NA,2,0,11,13,12,0,20,32,1,0,21,22,3,0,4,7,4,3,7,0,14,14,0,2,2,30.3030303,181.8181818,15.15151515,45.45454545,60.60606061,0,0,0,0,0,0,166.6666667,303.030303,318.1818182,60.60606061,45.45454545,212.1212121,30.3030303,196.969697,484.8484848,333.3333333,106.0606061,106.0606061,212.1212121,30.3030303,-73.55697379,-3.90011748,954,937,854,854,0,2,Pajonal andino,Pj,121.2065915,697.1898156
YARINA_IQUITOS,53,YARINA,IQUITOS,MAYNAS,Nanay,No,NA,58,NA,16,0,6,22,0,0,12,12,5,0,14,19,1,0,2,3,4,0,4,1,6,7,0,1,1,275.862069,0,86.20689655,17.24137931,68.96551724,17.24137931,0,0,0,0,0,103.4482759,206.8965517,241.3793103,34.48275862,0,103.4482759,17.24137931,379.3103448,206.8965517,327.5862069,51.72413793,68.96551724,120.6896552,17.24137931,-73.56052418,-3.84531483,653,636,211,211,0,2,Bosque de terraza baja,Btb,153.0389169,812.6035318
MARAVILLA_IQUITOS,54,MARAVILLA,IQUITOS,MAYNAS,Nanay,No,91104,86,168.4400263,11,0,36,47,8,0,47,55,13,0,43,56,9,0,33,42,6,13,19,7,39,46,0,8,8,127.9069767,93.02325581,151.1627907,104.6511628,69.76744186,81.39534884,0,0,0,0,0,418.6046512,546.5116279,500,383.7209302,151.1627907,453.4883721,93.02325581,546.5116279,639.5348837,651.1627907,488.372093,220.9302326,534.8837209,93.02325581,-73.57241106,-3.8590005,632,615,223,223,0,2,Pajonal andino,Pj,148.3657214,851.766912
LAGUNAS_IQUITOS,55,LAGUNAS,IQUITOS,MAYNAS,Nanay,No,95089,50,127.8350019,11,0,27,38,8,0,31,39,7,0,25,32,7,0,27,34,4,23,27,8,27,35,1,7,8,220,160,140,140,80,160,20,0,0,0,0,540,620,500,540,460,540,140,760,780,640,680,540,700,160,-73.58350328,-3.85636014,554,537,129,129,0,2,Pajonal andino,Pj,168.8582438,884.6282007
SAMITO_ALTO NANAY,56,SAMITO,ALTO NANAY,MAYNAS,Nanay,Yes,99483,438,36.21962446,47,0,133,180,101,0,204,305,94,0,246,340,115,0,212,327,108,221,329,83,313,396,8,122,130,107.3059361,230.5936073,214.6118721,262.5570776,246.5753425,189.4977169,18.26484018,0,0,0,0,303.652968,465.7534247,561.6438356,484.0182648,504.56621,714.6118721,278.5388128,410.9589041,696.347032,776.2557078,746.5753425,751.1415525,904.109589,296.803653,-73.61331156,-3.86555406,483,466,18,18,0,2,Matorral arbustivo,Ma,179.6890855,952.1251673
SANTA MARIA DEL ALTO NANAY_ALTO NANAY,57,SANTA MARIA DEL ALTO NANAY,ALTO NANAY,MAYNAS,Nanay,Yes,121154,762,381.3041487,111,0,359,470,110,0,557,667,157,0,638,795,98,0,505,603,131,682,813,163,408,571,5,130,135,145.6692913,144.3569554,206.0367454,128.6089239,171.9160105,213.9107612,6.56167979,0,0,0,0,471.1286089,730.9711286,837.2703412,662.7296588,895.0131234,535.4330709,170.6036745,616.7979003,875.328084,1043.307087,791.3385827,1066.929134,749.343832,177.1653543,-73.69651569,-3.88816299,NA,NA,NA,NA,NA,NA,NA,NA,205.6190268,983.9701519
PISCO_ALTO NANAY,58,PISCO,ALTO NANAY,MAYNAS,Nanay,Yes,129380,75,443.4099983,13,0,29,42,3,0,65,68,21,1,77,99,6,0,13,19,8,26,34,16,19,35,1,10,11,173.3333333,40,280,80,106.6666667,213.3333333,13.33333333,0,0,13.33333333,0,386.6666667,866.6666667,1026.666667,173.3333333,346.6666667,253.3333333,133.3333333,560,906.6666667,1320,253.3333333,453.3333333,466.6666667,146.6666667,-73.7136298,-3.89052285,154,138,14,14,0,2,Bofedal,Bo,186.9898798,877.2231965
NUEVO LORETO_ALTO NANAY,59,NUEVO LORETO,ALTO NANAY,MAYNAS,Nanay,No,135457,33,NA,1,0,8,9,3,0,12,15,1,0,6,7,0,0,2,2,1,8,9,2,3,5,2,2,4,30.3030303,90.90909091,30.3030303,0,30.3030303,60.60606061,60.60606061,0,0,0,0,242.4242424,363.6363636,181.8181818,60.60606061,242.4242424,90.90909091,60.60606061,272.7272727,454.5454545,212.1212121,60.60606061,272.7272727,151.5151515,121.2121212,-73.73655706,-3.89705715,177,161,37,37,0,2,Areas de no bosque amazï¿½nico,Ano,108.3550117,720.4089981
SANTA ROSA_ALTO NANAY,60,SANTA ROSA,ALTO NANAY,MAYNAS,Nanay,No,NA,NA,NA,1,0,3,4,0,0,6,6,0,0,2,2,1,0,6,7,0,1,1,0,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.76802539,-3.90383202,201,184,31,31,0,2,Bofedal,Bo,89.19954318,501.4725543
DIAMANTE AZUL_ALTO NANAY,61,DIAMANTE AZUL,ALTO NANAY,MAYNAS,Nanay,Yes,143388,425,709.7200235,125,0,212,337,36,0,179,215,78,0,286,364,88,0,208,296,124,427,551,102,354,456,5,145,150,294.1176471,84.70588235,183.5294118,207.0588235,291.7647059,240,11.76470588,0,0,0,0,498.8235294,421.1764706,672.9411765,489.4117647,1004.705882,832.9411765,341.1764706,792.9411765,505.8823529,856.4705882,696.4705882,1296.470588,1072.941176,352.9411765,-73.7794579,-3.9005405,177,161,0,0,0,10,Pajonal andino,Pj,92.82013238,486.3517418
SAN JUAN DE UNGURAHUAL_ALTO NANAY,62,SAN JUAN DE UNGURAHUAL,ALTO NANAY,MAYNAS,Nanay,Yes,149085,199,865.0054235,28,0,69,97,8,0,82,90,17,0,51,68,2,0,15,17,11,27,38,18,81,99,0,1,1,140.7035176,40.20100503,85.42713568,10.05025126,55.27638191,90.45226131,0,0,0,0,0,346.7336683,412.0603015,256.281407,75.37688442,135.678392,407.0351759,5.025125628,487.4371859,452.2613065,341.7085427,85.42713568,190.9547739,497.4874372,5.025125628,-73.81011753,-3.90213849,194,177,54,54,0,2,Areas de no bosque amazï¿½nico,Ano,80.59708478,446.337935
PINTO COCHA_ALTO NANAY,63,PINTO COCHA,ALTO NANAY,MAYNAS,Nanay,No,NA,NA,NA,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.87658403,-3.88084765,185,169,45,45,0,2,Bofedal,Bo,55.93265172,306.6801924
EL SALVADOR_ALTO NANAY,64,EL SALVADOR,ALTO NANAY,MAYNAS,Nanay,No,170745,95,NA,6,0,17,23,11,0,22,33,0,0,18,18,0,0,6,6,7,9,16,0,11,11,0,1,1,63.15789474,115.7894737,0,0,73.68421053,0,0,0,0,0,0,178.9473684,231.5789474,189.4736842,63.15789474,94.73684211,115.7894737,10.52631579,242.1052632,347.3684211,189.4736842,63.15789474,168.4210526,115.7894737,10.52631579,-73.90014383,-3.89107522,171,155,31,31,0,2,Matorral arbustivo,Ma,45.44306342,237.7193033
CATALAN_ALTO NANAY,65,CATALAN,ALTO NANAY,MAYNAS,Nanay,No,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.96531614,-3.82734364,310,293,170,170,0,2,Pajonal andino,Pj,14.83780009,99.04059568
SANTA ANA_ALTO NANAY,66,SANTA ANA,ALTO NANAY,MAYNAS,Nanay,No,NA,NA,NA,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.02278889,-3.78674353,436,419,296,296,0,2,Pajonal andino,Pj,14.2560187,86.93085331
CASCABEL_ALTO NANAY,67,CASCABEL,ALTO NANAY,MAYNAS,Nanay,No,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.03651452,-3.80090264,466,450,326,326,0,2,Pajonal andino,Pj,13.81481044,83.56331964
PUCA URCO_ALTO NANAY,68,PUCA URCO,ALTO NANAY,MAYNAS,Nanay,Yes,207728,172,NA,35,0,38,73,16,0,75,91,19,0,99,118,1,0,18,19,5,13,18,15,42,57,22,22,44,203.4883721,93.02325581,110.4651163,5.813953488,29.06976744,87.20930233,127.9069767,0,0,0,0,220.9302326,436.0465116,575.5813953,104.6511628,75.58139535,244.1860465,127.9069767,424.4186047,529.0697674,686.0465116,110.4651163,104.6511628,331.3953488,255.8139535,-74.05514498,-3.80367537,468,452,328,328,0,2,Bofedal,Bo,13.21324419,80.51515157
TIERRA BLANCA_ALTO NANAY,69,TIERRA BLANCA,ALTO NANAY,MAYNAS,Nanay,No,NA,NA,NA,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.07817164,-3.78423114,508,492,368,368,0,2,Matorral arbustivo,Ma,12.543675,77.60959725
PUCAHUARQUILLO_ALTO NANAY,70,PUCAHUARQUILLO,ALTO NANAY,MAYNAS,Nanay,No,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.11529878,-3.76039651,NA,NA,NA,NA,NA,NA,NA,NA,11.38176739,71.22643573
LIBERTAD_ALTO NANAY,71,LIBERTAD,ALTO NANAY,MAYNAS,Nanay,No,NA,NA,NA,6,0,18,24,0,0,2,2,0,0,8,8,0,0,0,0,1,5,6,1,2,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.19783202,-3.7003399,663,647,523,523,0,2,Agricultura costera y andina,Agri,10.59745396,64.26632639
GRAU_ALTO NANAY,72,GRAU,ALTO NANAY,MAYNAS,Nanay,No,NA,NA,NA,1,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.2877184,-3.67118201,680,664,541,541,0,2,Pajonal andino,Pj,12.67074417,78.41346265
SANTA ISABEL_ALTO NANAY,73,SANTA ISABEL,ALTO NANAY,MAYNAS,Nanay,No,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.30578902,-3.65907227,655,639,515,515,0,2,Agricultura costera y andina,Agri,13.02990211,81.46196416
ALBARENGA_ALTO NANAY,74,ALBARENGA,ALTO NANAY,MAYNAS,Nanay,No,310734,24,NA,8,0,1,9,4,0,0,4,0,0,2,2,2,0,5,7,1,5,6,1,4,5,0,1,1,333.3333333,166.6666667,0,83.33333333,41.66666667,41.66666667,0,0,0,0,0,41.66666667,0,83.33333333,208.3333333,208.3333333,166.6666667,41.66666667,375,166.6666667,83.33333333,291.6666667,250,208.3333333,41.66666667,-74.56554724,-3.40506314,739,722,599,599,0,2,Matorral arbustivo,Ma,42.5035746,257.1628624
CABO LOPEZ_SAN JUAN BAUTISTA,75,CABO LOPEZ,SAN JUAN BAUTISTA,MAYNAS,Itaya,No,NA,850,NA,0,0,4,4,1,0,13,14,0,0,11,11,0,0,11,11,0,7,7,2,11,13,0,1,1,0,1.176470588,0,0,0,2.352941176,0,0,0,0,0,4.705882353,15.29411765,12.94117647,12.94117647,8.235294118,12.94117647,1.176470588,4.705882353,16.47058824,12.94117647,12.94117647,8.235294118,15.29411765,1.176470588,-73.26134078,-3.78830276,43,27,17,17,0,8,Area urbana,U,683.5743941,3958.618367
BUENA ESPERANZA_SAN JUAN BAUTISTA,76,BUENA ESPERANZA,SAN JUAN BAUTISTA,MAYNAS,Itaya,No,NA,63,NA,0,0,5,5,5,0,7,12,2,0,36,38,0,0,7,7,0,4,4,0,9,9,0,0,0,0,79.36507937,31.74603175,0,0,0,0,0,0,0,0,79.36507937,111.1111111,571.4285714,111.1111111,63.49206349,142.8571429,0,79.36507937,190.4761905,603.1746032,111.1111111,63.49206349,142.8571429,0,-73.32236787,-3.89769328,109,93,64,64,0,2,Area altoandina con escasa y sin vegetaciï¿½n,Esv,276.8326597,1666.244996
RAYA_ALTO NANAY,77,RAYA,ALTO NANAY,MAYNAS,Pintuyacu,No,119111,NA,NA,0,0,3,3,7,0,33,40,4,0,11,15,1,0,2,3,10,12,22,4,2,6,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.67219414,-3.87771252,NA,NA,NA,NA,NA,NA,NA,NA,185.9790539,1067.082323
SAN JUAN DE RAYA_ALTO NANAY,78,SAN JUAN DE RAYA,ALTO NANAY,MAYNAS,Pintuyacu,No,122486,58,NA,2,0,11,13,5,0,14,19,2,0,27,29,1,0,3,4,2,8,10,3,2,5,0,0,0,34.48275862,86.20689655,34.48275862,17.24137931,34.48275862,51.72413793,0,0,0,0,0,189.6551724,241.3793103,465.5172414,51.72413793,137.9310345,34.48275862,0,224.137931,327.5862069,500,68.96551724,172.4137931,86.20689655,0,-73.68992439,-3.8557118,205,189,68,68,0,2,Pajonal andino,Pj,197.4259132,1009.204686
HUARAPAL_ALTO NANAY,79,HUARAPAL,ALTO NANAY,MAYNAS,Pintuyacu,No,NA,NA,NA,3,0,0,3,0,0,0,0,3,0,1,4,0,0,1,1,1,2,3,1,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.67905077,-3.82598052,225,209,88,88,0,2,Areas de no bosque amazï¿½nico,Ano,140.9787229,952.2374392
NUEVA ESPERANZA_ALTO NANAY,80,NUEVA ESPERANZA,ALTO NANAY,MAYNAS,Pintuyacu,No,NA,9,NA,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,222.2222222,0,0,0,0,111.1111111,0,0,0,0,0,333.3333333,0,0,0,0,111.1111111,0,555.5555556,0,0,0,0,222.2222222,0,-73.64670814,-3.8253064,331,314,193,193,0,2,Pajonal andino,Pj,144.2877707,939.7142007
SABOYA_ALTO NANAY,81,SABOYA,ALTO NANAY,MAYNAS,Pintuyacu,Yes,132578,72,456.9699992,6,0,25,31,20,0,29,49,20,0,58,78,4,0,20,24,3,18,21,8,12,20,0,12,12,83.33333333,277.7777778,277.7777778,55.55555556,41.66666667,111.1111111,0,0,0,0,0,347.2222222,402.7777778,805.5555556,277.7777778,250,166.6666667,166.6666667,430.5555556,680.5555556,1083.333333,333.3333333,291.6666667,277.7777778,166.6666667,-73.70268164,-3.82029288,240,224,103,103,0,2,Pajonal andino,Pj,154.7638672,794.135595
TRIUNFO_ALTO NANAY,82,TRIUNFO,ALTO NANAY,MAYNAS,Pintuyacu,No,NA,17,NA,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,2,2,0,2,0,1,1,0,0,0,0,58.82352941,117.6470588,0,0,0,0,0,0,0,117.6470588,0,58.82352941,0,58.82352941,0,0,117.6470588,0,117.6470588,117.6470588,58.82352941,-73.67049165,-3.79598527,1097,1081,725,725,0,2,Pajonal andino,Pj,141.5522739,799.4604319
SOLEDAD_ALTO NANAY,83,SOLEDAD,ALTO NANAY,MAYNAS,Pintuyacu,No,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.71036915,-3.78913676,280,263,142,142,0,2,Agricultura costera y andina,Agri,113.7079705,655.1962834
MIRAFLORES_ALTO NANAY,84,MIRAFLORES,ALTO NANAY,MAYNAS,Pintuyacu,No,140455,48,518.4119244,1,0,4,5,5,0,8,13,5,0,9,14,0,0,2,2,2,8,10,6,16,22,1,5,6,20.83333333,104.1666667,104.1666667,0,41.66666667,125,20.83333333,0,0,0,0,83.33333333,166.6666667,187.5,41.66666667,166.6666667,333.3333333,104.1666667,104.1666667,270.8333333,291.6666667,41.66666667,208.3333333,458.3333333,125,-73.70085955,-3.778505,287,270,149,149,0,2,Agricultura costera y andina,Agri,122.0452446,661.8393977
MONTE CALVARIO_ALTO NANAY,85,MONTE CALVARIO,ALTO NANAY,MAYNAS,Pintuyacu,Yes,135915,55,NA,3,0,17,20,6,0,22,28,3,0,20,23,1,0,4,5,6,10,16,1,12,13,4,6,10,54.54545455,109.0909091,54.54545455,18.18181818,109.0909091,18.18181818,72.72727273,0,0,0,0,309.0909091,400,363.6363636,72.72727273,181.8181818,218.1818182,109.0909091,363.6363636,509.0909091,418.1818182,90.90909091,290.9090909,236.3636364,181.8181818,-73.71381645,-3.7605445,292,275,149,149,0,2,Matorral arbustivo,Ma,103.379753,571.0720712
NAZARETH_ALTO NANAY,86,NAZARETH,ALTO NANAY,MAYNAS,Pintuyacu,No,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.72935577,-3.73428827,340,323,101,101,0,2,Agricultura costera y andina,Agri,75.55242692,488.4925073
SAN ANTONIO_ALTO NANAY,87,SAN ANTONIO,ALTO NANAY,MAYNAS,Pintuyacu,Yes,153454,246,951.0004249,31,0,131,162,43,0,191,234,12,0,150,162,4,0,121,125,36,74,110,35,91,126,80,60,140,63.78600823,88.47736626,24.69135802,8.230452675,74.07407407,72.01646091,164.6090535,0,0,0,0,269.5473251,393.0041152,308.6419753,248.9711934,152.2633745,187.2427984,123.4567901,333.3333333,481.4814815,333.3333333,257.2016461,226.3374486,259.2592593,288.0658436,-73.77867444,-3.70478681,441,425,0,0,0,2,Agricultura costera y andina,Agri,66.64542807,369.5007055
PIJUAYAL_ALTO NANAY,88,PIJUAYAL,ALTO NANAY,MAYNAS,Pintuyacu,No,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.78258589,-3.6970234,427,411,45,45,0,2,Pajonal andino,Pj,63.3792046,356.7553295
HIRACOCHA_ALTO NANAY,89,HIRACOCHA,ALTO NANAY,MAYNAS,Pintuyacu,No,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.24600589,-3.32557228,1160,1143,787,787,0,2,Agricultura costera y andina,Agri,22.58009765,143.8372909
BOQUERON_ALTO NANAY,90,BOQUERON,ALTO NANAY,MAYNAS,Chambira,No,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.7597149,-3.68192876,454,437,95,95,0,2,Pajonal andino,Pj,57.59595953,354.8988718
YARINA_ALTO NANAY,91,YARINA,ALTO NANAY,MAYNAS,Chambira,No,169275,36,NA,3,0,2,5,1,0,4,5,0,0,9,9,0,0,1,1,2,2,4,0,2,2,0,1,1,83.33333333,27.77777778,0,0,55.55555556,0,0,0,0,0,0,55.55555556,111.1111111,250,27.77777778,55.55555556,55.55555556,27.77777778,138.8888889,138.8888889,250,27.77777778,111.1111111,55.55555556,27.77777778,-73.75689951,-3.64211902,NA,NA,NA,NA,NA,NA,NA,NA,48.41982177,305.4004846
ESPERANZA / CHAPAJILLA_ALTO NANAY,92,ESPERANZA / CHAPAJILLA,ALTO NANAY,MAYNAS,Chambira,No,NA,NA,NA,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.75260228,-3.60483127,NA,NA,NA,NA,NA,NA,NA,NA,49.90620152,316.7706257
ATALAYA_ALTO NANAY,93,ATALAYA,ALTO NANAY,MAYNAS,Chambira,Yes,181409,152,NA,15,0,30,45,27,0,97,124,8,0,68,76,0,0,16,16,5,8,13,3,16,19,6,5,11,98.68421053,177.6315789,52.63157895,0,32.89473684,19.73684211,39.47368421,0,0,0,0,197.3684211,638.1578947,447.3684211,105.2631579,52.63157895,105.2631579,32.89473684,296.0526316,815.7894737,500,105.2631579,85.52631579,125,72.36842105,-73.75570183,-3.58464408,706,690,333,333,0,2,Pajonal andino,Pj,57.98581848,337.0587357
TARMA_ALTO NANAY,94,TARMA,ALTO NANAY,MAYNAS,Chambira,No,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.76874764,-3.55664276,826,810,453,453,0,2,Bosque de colina baja,Bcb,67.8678599,362.7023177
BUENAVISTA / SAN PEDRO_ALTO NANAY,95,BUENAVISTA / SAN PEDRO,ALTO NANAY,MAYNAS,Chambira,No,NA,NA,NA,0,0,3,3,0,0,3,3,0,0,1,1,0,0,4,4,0,2,2,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.75354,-3.51136,NA,NA,NA,NA,NA,NA,NA,NA,76.21478936,415.1915114
BUENA VISTA_ALTO NANAY,96,BUENA VISTA,ALTO NANAY,MAYNAS,Chambira,No,NA,72,NA,0,0,7,7,3,0,21,24,1,0,10,11,0,0,3,3,5,3,8,2,6,8,1,0,1,0,41.66666667,13.88888889,0,69.44444444,27.77777778,13.88888889,0,0,0,0,97.22222222,291.6666667,138.8888889,41.66666667,41.66666667,83.33333333,0,97.22222222,333.3333333,152.7777778,41.66666667,111.1111111,111.1111111,13.88888889,-73.75329132,-3.51124564,871,855,499,499,0,2,Agricultura costera y andina,Agri,76.21478936,415.1915114
PORVENIR_ALTO NANAY,97,PORVENIR,ALTO NANAY,MAYNAS,Chambira,No,NA,NA,NA,1,0,1,2,2,0,12,14,0,0,8,8,0,0,4,4,4,16,20,0,3,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.76186884,-3.48650763,884,868,512,512,0,2,Matorral arbustivo,Ma,79.51960021,416.9990118
SAN PABLO_ALTO NANAY,98,SAN PABLO,ALTO NANAY,MAYNAS,Chambira,No,NA,NA,NA,1,0,3,4,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.80727152,-3.43394727,941,924,568,568,0,2,Agricultura costera y andina,Agri,81.48770184,423.2138338
