LOC_DIS,LOCALIDAD,DISTRITO,PROVINCIA,POBLACION,BASIN,Selected,XGD,YGD,dist_minutes_cat3,dist_minutes_cat2,dist_minutes_cat1,dist_minutes_all,urban,landc,cobVeg,cobVeg_simbol,year,cases,api,specie
CHURUS_ANDOAS,CHURUS,ANDOAS,DATEM DEL MARAÑON,82,NA,No,-76.43373636,-2.832521346,NA,NA,NA,NA,NA,NA,NA,NA,2018,2,24.3902439,P. falciparum
SUNGACHE_ANDOAS,SUNGACHE,ANDOAS,DATEM DEL MARAÑON,195,NA,No,-76.43375383,-3.7570759,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
ALIANZA CRISTIANA_ANDOAS,ALIANZA CRISTIANA,ANDOAS,DATEM DEL MARAÑON,586,NA,No,-76.43391502,-3.47525444,NA,NA,NA,NA,NA,NA,NA,NA,2018,133,226.9624573,P. falciparum
NARANJILLO_BALSAPUERTO,NARANJILLO,BALSAPUERTO,ALTO AMAZONAS,65,NA,No,-76.4342171,-5.91761264,3589,96,11,11,0,8,Bosque de montaï¿½a basimontano,Bm,2018,0,0,P. falciparum
HUAGRAMONA_ANDOAS,HUAGRAMONA,ANDOAS,DATEM DEL MARAÑON,500,NA,No,-76.43438454,-3.08022469,NA,NA,NA,NA,NA,NA,NA,NA,2018,61,122,P. falciparum
TRUENO COCHA_PASTAZA,TRUENO COCHA,PASTAZA,DATEM DEL MARAÑON,251,NA,No,-76.4357693,-4.70035435,NA,NA,NA,NA,NA,NA,NA,NA,2018,2,7.96812749,P. falciparum
PURAHUA_PASTAZA,PURAHUA,PASTAZA,DATEM DEL MARAÑON,237,NA,No,-76.43825165,-4.63181627,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
NUEVO CHAZUTA_BALSAPUERTO,NUEVO CHAZUTA,BALSAPUERTO,ALTO AMAZONAS,200,NA,No,-76.4386069,-5.72549652,NA,NA,NA,NA,NA,NA,NA,NA,2018,1,5,P. falciparum
BUENA VISTA_ANDOAS,BUENA VISTA,ANDOAS,DATEM DEL MARAÑON,34,NA,No,-76.43884161,-3.05603357,NA,NA,NA,NA,NA,NA,NA,NA,2018,5,147.0588235,P. falciparum
CAMPO VERDE_PASTAZA,CAMPO VERDE,PASTAZA,DATEM DEL MARAÑON,102,NA,No,-76.43891024,-4.72292498,NA,NA,NA,NA,NA,NA,NA,NA,2018,1,9.803921569,P. falciparum
PUERTO NUEVO_PASTAZA,PUERTO NUEVO,PASTAZA,DATEM DEL MARAÑON,16,NA,No,-76.44333642,-4.81837075,NA,NA,NA,NA,NA,NA,NA,NA,2018,1,62.5,P. falciparum
CHICLIN_PASTAZA,CHICLIN,PASTAZA,DATEM DEL MARAÑON,10,NA,No,-76.44346953,-4.81840065,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
NUEVO MAMBOYACU_PASTAZA,NUEVO MAMBOYACU,PASTAZA,DATEM DEL MARAÑON,NA,NA,No,-76.44487469,-4.47272292,NA,NA,NA,NA,NA,NA,NA,NA,2018,2,NA,P. falciparum
VIEJO MAMBOYACU_PASTAZA,VIEJO MAMBOYACU,PASTAZA,DATEM DEL MARAÑON,54,NA,No,-76.44495454,-4.430044578,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
ANATICO_ANDOAS,ANATICO,ANDOAS,DATEM DEL MARAÑON,209,NA,No,-76.44693345,-3.48843978,NA,NA,NA,NA,NA,NA,NA,NA,2018,34,162.6794258,P. falciparum
NUEVO NAZARETH_PASTAZA,NUEVO NAZARETH,PASTAZA,DATEM DEL MARAÑON,81,NA,No,-76.44724021,-4.49840289,NA,NA,NA,NA,NA,NA,NA,NA,2018,3,37.03703704,P. falciparum
LOS JARDINES_ANDOAS,LOS JARDINES,ANDOAS,DATEM DEL MARAÑON,339,NA,No,-76.45109498,-2.81772484,NA,NA,NA,NA,NA,NA,NA,NA,2018,8,23.59882006,P. falciparum
SAN FERNANDO_BALSAPUERTO,SAN FERNANDO,BALSAPUERTO,ALTO AMAZONAS,88,NA,No,-76.45117153,-5.73138028,4505,232,54,54,0,10,Pajonal andino,Pj,2018,0,0,P. falciparum
PUNCHANA_JEBEROS,PUNCHANA,JEBEROS,ALTO AMAZONAS,173,NA,No,-76.45132948,-5.33005772,2484,765,134,134,0,2,Matorral arbustivo,Ma,2018,0,0,P. falciparum
NUEVA UNION_PASTAZA,NUEVA UNION,PASTAZA,DATEM DEL MARAÑON,73,NA,No,-76.45180883,-4.81138266,NA,NA,NA,NA,NA,NA,NA,NA,2018,9,123.2876712,P. falciparum
LA CURVA_PASTAZA,LA CURVA,PASTAZA,DATEM DEL MARAÑON,89,NA,No,-76.45191801,-4.79674178,NA,NA,NA,NA,NA,NA,NA,NA,2018,1,11.23595506,P. falciparum
SAN PEDRO DE POROTOYACU_BALSAPUERTO,SAN PEDRO DE POROTOYACU,BALSAPUERTO,ALTO AMAZONAS,64,NA,No,-76.45268395,-5.918165998,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
HIRAPAY_BALSAPUERTO,HIRAPAY,BALSAPUERTO,ALTO AMAZONAS,181,NA,No,-76.45281965,-5.69855078,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
NUEVO TOCACHE_BALSAPUERTO,NUEVO TOCACHE,BALSAPUERTO,ALTO AMAZONAS,35,NA,No,-76.45345761,-5.967255558,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
NUEVO UNGURAHUI_PASTAZA,NUEVO UNGURAHUI,PASTAZA,DATEM DEL MARAÑON,89,NA,No,-76.45570734,-4.67287768,NA,NA,NA,NA,NA,NA,NA,NA,2018,1,11.23595506,P. falciparum
SANTA ANITA_BALSAPUERTO,SANTA ANITA,BALSAPUERTO,ALTO AMAZONAS,42,NA,No,-76.45969493,-5.703864874,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
SANTA MARTHA_BALSAPUERTO,SANTA MARTHA,BALSAPUERTO,ALTO AMAZONAS,68,NA,No,-76.45984919,-5.857778453,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
NUEVO ANDOAS_ANDOAS,NUEVO ANDOAS,ANDOAS,DATEM DEL MARAÑON,844,NA,No,-76.46168656,-2.80575698,NA,NA,NA,NA,NA,NA,NA,NA,2018,40,47.39336493,P. falciparum
SIWIN_ANDOAS,SIWIN,ANDOAS,DATEM DEL MARAÑON,257,NA,No,-76.46237442,-3.20683541,NA,NA,NA,NA,NA,NA,NA,NA,2018,47,182.8793774,P. falciparum
SAN MIGUEL_BARRANCA,SAN MIGUEL,BARRANCA,DATEM DEL MARAÑON,69,NA,No,-76.46241667,-4.925703334,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
NUEVA ESPERANZA_ANDOAS,NUEVA ESPERANZA,ANDOAS,DATEM DEL MARAÑON,92,NA,No,-76.46490928,-3.91422064,NA,NA,NA,NA,NA,NA,NA,NA,2018,5,54.34782609,P. falciparum
BELLAVISTA_JEBEROS,BELLAVISTA,JEBEROS,ALTO AMAZONAS,394,NA,No,-76.46545682,-5.30438109,2562,776,6,6,0,10,Bofedal,Bo,2018,0,0,P. falciparum
UNION ANTONIETA_ANDOAS,UNION ANTONIETA,ANDOAS,DATEM DEL MARAÑON,95,NA,No,-76.46583373,-3.51928848,NA,NA,NA,NA,NA,NA,NA,NA,2018,38,400,P. falciparum
NUEVA UCHIZA_BALSAPUERTO,NUEVA UCHIZA,BALSAPUERTO,ALTO AMAZONAS,86,NA,No,-76.46671193,-5.969989487,3153,166,31,31,0,8,Agricultura costera y andina,Agri,2018,0,0,P. falciparum
SAN JUAN DE MOJARAYACU_BARRANCA,SAN JUAN DE MOJARAYACU,BARRANCA,DATEM DEL MARAÑON,162,NA,No,-76.46671528,-4.88988127,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
ANGAIZA_BALSAPUERTO,ANGAIZA,BALSAPUERTO,ALTO AMAZONAS,120,NA,No,-76.46856537,-5.991983519,NA,NA,NA,NA,NA,NA,NA,NA,2018,4,33.33333333,P. falciparum
NUEVO PORVENIR_ANDOAS,NUEVO PORVENIR,ANDOAS,DATEM DEL MARAÑON,247,NA,No,-76.47187953,-2.80175297,NA,NA,NA,NA,NA,NA,NA,NA,2018,14,56.68016194,P. falciparum
NUEVO SAN MARTIN_BALSAPUERTO,NUEVO SAN MARTIN,BALSAPUERTO,ALTO AMAZONAS,53,NA,No,-76.47420627,-5.800378434,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
SANTA RITA_BALSAPUERTO,SANTA RITA,BALSAPUERTO,ALTO AMAZONAS,163,NA,No,-76.47828316,-5.73775702,4610,241,25,25,0,10,Agricultura costera y andina,Agri,2018,0,0,P. falciparum
NUEVA ESPERANZA_BALSAPUERTO,NUEVA ESPERANZA,BALSAPUERTO,ALTO AMAZONAS,316,NA,No,-76.47928399,-5.74933587,3635,142,76,76,0,2,Areas de no bosque amazï¿½nico,Ano,2018,0,0,P. falciparum
NUEVA ESPERANZA_BALSAPUERTO,NUEVA ESPERANZA,BALSAPUERTO,ALTO AMAZONAS,316,NA,No,-76.47928399,-5.74933587,4592,221,0,0,0,8,Agricultura costera y andina,Agri,2018,0,0,P. falciparum
SAN VICENTE_BALSAPUERTO,SAN VICENTE,BALSAPUERTO,ALTO AMAZONAS,102,NA,No,-76.48239939,-5.790864174,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
MARANATHA_BALSAPUERTO,MARANATHA,BALSAPUERTO,ALTO AMAZONAS,280,NA,No,-76.4832559,-5.66560477,4386,300,51,51,0,2,Areas de no bosque amazï¿½nico,Ano,2018,0,0,P. falciparum
SANTA SOFIA_BALSAPUERTO,SANTA SOFIA,BALSAPUERTO,ALTO AMAZONAS,54,NA,No,-76.4839202,-5.910808858,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
TITIYACU_ANDOAS,TITIYACU,ANDOAS,DATEM DEL MARAÑON,167,NA,No,-76.494273,-2.77760137,NA,NA,NA,NA,NA,NA,NA,NA,2018,77,461.0778443,P. falciparum
PUERTO PORVENIR_BALSAPUERTO,PUERTO PORVENIR,BALSAPUERTO,ALTO AMAZONAS,363,NA,No,-76.49552446,-5.9492751,3388,290,155,155,0,8,Areas de no bosque amazï¿½nico,Ano,2018,0,0,P. falciparum
MIRAFLORES 1_BARRANCA,MIRAFLORES 1,BARRANCA,DATEM DEL MARAÑON,46,NA,No,-76.49754365,-4.90003914,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
NUEVA ZARAMIRIZA_BALSAPUERTO,NUEVA ZARAMIRIZA,BALSAPUERTO,ALTO AMAZONAS,58,NA,No,-76.50493917,-5.9125257,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
COCHA PURAHUA_ANDOAS,COCHA PURAHUA,ANDOAS,DATEM DEL MARAÑON,237,NA,No,-76.50495887,-3.48011303,NA,NA,NA,NA,NA,NA,NA,NA,2018,83,350.2109705,P. falciparum
SAN JOSE DE CABALLITO_BALSAPUERTO,SAN JOSE DE CABALLITO,BALSAPUERTO,ALTO AMAZONAS,185,NA,No,-76.50496528,-5.75173627,4491,230,36,36,0,8,Pajonal andino,Pj,2018,0,0,P. falciparum
COCHA PURAHUA_ANDOAS,COCHA PURAHUA,ANDOAS,DATEM DEL MARAÑON,237,NA,No,-76.50505667,-3.480541667,NA,NA,NA,NA,NA,NA,NA,NA,2018,83,350.2109705,P. falciparum
2 DE MAYO_PASTAZA,2 DE MAYO,PASTAZA,DATEM DEL MARAÑON,3,NA,No,-76.50554427,-4.7151104,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
RECREO_PASTAZA,RECREO,PASTAZA,DATEM DEL MARAÑON,137,NA,No,-76.50559301,-4.72904902,NA,NA,NA,NA,NA,NA,NA,NA,2018,8,58.39416058,P. falciparum
NARANJAL_BALSAPUERTO,NARANJAL,BALSAPUERTO,ALTO AMAZONAS,82,NA,No,-76.51011451,-5.65027564,4333,315,18,18,0,10,Bosque de montaï¿½a basimontano,Bm,2018,0,0,P. falciparum
SAN ANTONIO_BARRANCA,SAN ANTONIO,BARRANCA,DATEM DEL MARAÑON,360,NA,No,-76.51071778,-4.90657342,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
ANTIOQUIA_BALSAPUERTO,ANTIOQUIA,BALSAPUERTO,ALTO AMAZONAS,274,NA,No,-76.51702427,-5.53456853,3710,794,245,245,0,2,Pajonal andino,Pj,2018,0,0,P. falciparum
BELLAVISTA_BALSAPUERTO,BELLAVISTA,BALSAPUERTO,ALTO AMAZONAS,257,NA,No,-76.51746002,-5.77547802,4302,181,76,76,0,10,Agricultura costera y andina,Agri,2018,0,0,P. falciparum
PUERTO ALEGRE_ANDOAS,PUERTO ALEGRE,ANDOAS,DATEM DEL MARAÑON,247,NA,No,-76.51820798,-3.80970474,NA,NA,NA,NA,NA,NA,NA,NA,2018,35,141.7004049,P. falciparum
URUGUAY_BARRANCA,URUGUAY,BARRANCA,DATEM DEL MARAÑON,56,NA,No,-76.51879765,-4.82982514,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
PUERTO GALILEA_ANDOAS,PUERTO GALILEA,ANDOAS,DATEM DEL MARAÑON,143,NA,No,-76.519845,-3.419181667,NA,NA,NA,NA,NA,NA,NA,NA,2018,39,272.7272727,P. falciparum
SANTANDER_PASTAZA,SANTANDER,PASTAZA,DATEM DEL MARAÑON,36,NA,No,-76.52034127,-4.70390752,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
SANTA CLARA_BALSAPUERTO,SANTA CLARA,BALSAPUERTO,ALTO AMAZONAS,146,NA,No,-76.52184674,-5.755099407,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
SANTA CLARA DE PILLINGUE_BALSAPUERTO,SANTA CLARA DE PILLINGUE,BALSAPUERTO,ALTO AMAZONAS,145,NA,No,-76.52238469,-5.75402091,4417,215,64,64,0,10,Pajonal andino,Pj,2018,0,0,P. falciparum
CHIMARA_ANDOAS,CHIMARA,ANDOAS,DATEM DEL MARAÑON,42,NA,No,-76.5278,-4.1875,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
NUEVO BARRANQUITA_BALSAPUERTO,NUEVO BARRANQUITA,BALSAPUERTO,ALTO AMAZONAS,221,NA,No,-76.52862195,-5.802670057,NA,NA,NA,NA,NA,NA,NA,NA,2018,2,9.049773756,P. falciparum
NUEVO REFORMA_BALSAPUERTO,NUEVO REFORMA,BALSAPUERTO,ALTO AMAZONAS,110,NA,No,-76.52990002,-5.7847384,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
BETHEL_JEBEROS,BETHEL,JEBEROS,ALTO AMAZONAS,294,NA,No,-76.53040259,-5.33516279,3363,1109,339,339,0,2,Areas de no bosque amazï¿½nico,Ano,2018,1,3.401360544,P. falciparum
BETHEL_JEBEROS,BETHEL,JEBEROS,ALTO AMAZONAS,294,NA,No,-76.53040259,-5.33516279,3345,1098,327,327,0,2,Pajonal andino,Pj,2018,1,3.401360544,P. falciparum
BETHEL_JEBEROS,BETHEL,JEBEROS,ALTO AMAZONAS,294,NA,No,-76.53245167,-5.332433333,NA,NA,NA,NA,NA,NA,NA,NA,2018,1,3.401360544,P. falciparum
PANAN_BALSAPUERTO,PANAN,BALSAPUERTO,ALTO AMAZONAS,415,NA,No,-76.53556553,-5.64742264,4251,333,0,0,0,10,Areas de no bosque amazï¿½nico,Ano,2018,0,0,P. falciparum
PUERTO DIAZ_PASTAZA,PUERTO DIAZ,PASTAZA,DATEM DEL MARAÑON,84,NA,No,-76.53685498,-4.67758338,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
CHIMARA_ANDOAS,CHIMARA,ANDOAS,DATEM DEL MARAÑON,42,NA,No,-76.54240916,-4.07510617,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
PINTOYACU/NUEVO CACHIYACU_BALSAPUERTO,PINTOYACU/NUEVO CACHIYACU,BALSAPUERTO,ALTO AMAZONAS,201,NA,No,-76.5436059,-5.81776028,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
MONZANTE_BARRANCA,MONZANTE,BARRANCA,DATEM DEL MARAÑON,561,NA,No,-76.5438184,-4.86345578,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
BETEL_ANDOAS,BETEL,ANDOAS,DATEM DEL MARAÑON,69,NA,No,-76.54419601,-3.38005942,NA,NA,NA,NA,NA,NA,NA,NA,2018,31,449.2753623,P. falciparum
NUEVO JUNIN_BALSAPUERTO,NUEVO JUNIN,BALSAPUERTO,ALTO AMAZONAS,367,NA,No,-76.54450726,-5.79595927,4191,156,51,51,0,8,Areas de no bosque amazï¿½nico,Ano,2018,5,13.6239782,P. falciparum
SAN FERNANDO_ANDOAS,SAN FERNANDO,ANDOAS,DATEM DEL MARAÑON,128,NA,No,-76.54539905,-4.20550064,NA,NA,NA,NA,NA,NA,NA,NA,2018,12,93.75,P. falciparum
NUEVO SAN LORENZO ARMANAY_BALSAPUERTO,NUEVO SAN LORENZO ARMANAY,BALSAPUERTO,ALTO AMAZONAS,142,NA,No,-76.545501,-5.845457,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
SAN LORENZO CACHIYACU_BALSAPUERTO,SAN LORENZO CACHIYACU,BALSAPUERTO,ALTO AMAZONAS,NA,NA,No,-76.54554266,-5.84542064,3775,72,7,7,0,8,Bofedal,Bo,2018,0,NA,P. falciparum
SAN LORENZO CACHIYACU_BALSAPUERTO,SAN LORENZO CACHIYACU,BALSAPUERTO,ALTO AMAZONAS,NA,NA,No,-76.54554266,-5.84542064,4035,129,16,16,0,8,Pajonal andino,Pj,2018,0,NA,P. falciparum
BRISTOL_BARRANCA,BRISTOL,BARRANCA,DATEM DEL MARAÑON,129,NA,No,-76.54602851,-4.8527209,NA,NA,NA,NA,NA,NA,NA,NA,2018,1,7.751937984,P. falciparum
BUENOS AIRES CACHIYACU_BALSAPUERTO,BUENOS AIRES CACHIYACU,BALSAPUERTO,ALTO AMAZONAS,326,NA,No,-76.54689766,-5.8370249,4026,119,5,5,0,8,Areas de no bosque amazï¿½nico,Ano,2018,1,3.067484663,P. falciparum
BUENOS AIRES CACHIYACU_BALSAPUERTO,BUENOS AIRES CACHIYACU,BALSAPUERTO,ALTO AMAZONAS,326,NA,No,-76.54689766,-5.8370249,4167,597,176,176,0,2,Agricultura costera y andina,Agri,2018,1,3.067484663,P. falciparum
PROGRESO_BALSAPUERTO,PROGRESO,BALSAPUERTO,ALTO AMAZONAS,353,NA,No,-76.54876498,-5.64985911,4199,353,0,0,0,8,Pajonal andino,Pj,2018,0,0,P. falciparum
NUEVO CANAAN_BALSAPUERTO,NUEVO CANAAN,BALSAPUERTO,ALTO AMAZONAS,42,NA,No,-76.54988826,-5.638590594,4236,349,15,15,0,2,Areas de no bosque amazï¿½nico,Ano,2018,0,0,P. falciparum
MALDONADO_ANDOAS,MALDONADO,ANDOAS,DATEM DEL MARAÑON,12,NA,No,-76.55373689,-2.76655852,NA,NA,NA,NA,NA,NA,NA,NA,2018,3,250,P. falciparum
SAN LORENZO_BARRANCA,SAN LORENZO,BARRANCA,DATEM DEL MARAÑON,7534,NA,No,-76.5545112,-4.8315686,NA,NA,NA,NA,NA,NA,NA,NA,2018,4,0.530926467,P. falciparum
NUEVO CAMITO_PASTAZA,NUEVO CAMITO,PASTAZA,DATEM DEL MARAÑON,18,NA,No,-76.55577833,-4.56824,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
MONTERREY_PASTAZA,MONTERREY,PASTAZA,DATEM DEL MARAÑON,7,NA,No,-76.55840833,-4.68797,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
PUERTO RUBINA_ANDOAS,PUERTO RUBINA,ANDOAS,DATEM DEL MARAÑON,281,NA,No,-76.55847656,-3.36085311,NA,NA,NA,NA,NA,NA,NA,NA,2018,110,391.4590747,P. falciparum
BALSAPUERTO_BALSAPUERTO,BALSAPUERTO,BALSAPUERTO,ALTO AMAZONAS,717,NA,No,-76.55972253,-5.8336164,4014,125,0,0,0,10,Pajonal andino,Pj,2018,3,4.184100418,P. falciparum
NUEVA LUZ_BALSAPUERTO,NUEVA LUZ,BALSAPUERTO,ALTO AMAZONAS,185,NA,No,-76.56213515,-5.85307215,3953,140,22,22,0,8,Pajonal andino,Pj,2018,0,0,P. falciparum
SANTA ROSA_BALSAPUERTO,SANTA ROSA,BALSAPUERTO,ALTO AMAZONAS,66,NA,No,-76.56276667,-5.824936667,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
SANTA FE_JEBEROS,SANTA FE,JEBEROS,ALTO AMAZONAS,60,NA,No,-76.56317272,-5.3508616,3741,1258,488,488,0,2,Desierto costero,Dc,2018,0,0,P. falciparum
HUACACHINA_BARRANCA,HUACACHINA,BARRANCA,DATEM DEL MARAÑON,NA,NA,No,-76.56357367,-4.825808862,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,NA,P. falciparum
ALIANZA_PASTAZA,ALIANZA,PASTAZA,DATEM DEL MARAÑON,NA,NA,No,-76.5661104,-4.67293927,NA,NA,NA,NA,NA,NA,NA,NA,2018,1,NA,P. falciparum
CALIFORNIA_PASTAZA,CALIFORNIA,PASTAZA,DATEM DEL MARAÑON,64,NA,No,-76.56876277,-4.624162285,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
WASHIENTSA_ANDOAS,WASHIENTSA,ANDOAS,DATEM DEL MARAÑON,607,NA,No,-76.56948517,-3.33455014,NA,NA,NA,NA,NA,NA,NA,NA,2018,227,373.970346,P. falciparum
CANOA PUERTO_BALSAPUERTO,CANOA PUERTO,BALSAPUERTO,ALTO AMAZONAS,480,NA,No,-76.57141302,-5.86577877,3907,171,52,52,0,10,Areas de no bosque amazï¿½nico,Ano,2018,0,0,P. falciparum
NUEVO CUZCO_BALSAPUERTO,NUEVO CUZCO,BALSAPUERTO,ALTO AMAZONAS,90,NA,No,-76.57349692,-5.81959155,4076,152,27,27,0,8,Pajonal andino,Pj,2018,1,11.11111111,P. falciparum
NUEVO JERUSALEN_BALSAPUERTO,NUEVO JERUSALEN,BALSAPUERTO,ALTO AMAZONAS,0,NA,No,-76.57696308,-5.66284999,4069,413,61,61,0,8,Areas de no bosque amazï¿½nico,Ano,2018,0,NA,P. falciparum
SANTA ROSA DE ARIPARI_BARRANCA,SANTA ROSA DE ARIPARI,BARRANCA,DATEM DEL MARAÑON,NA,NA,No,-76.57730466,-4.88146089,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,NA,P. falciparum
SANTA ROSA DE ARIPARI_BARRANCA,SANTA ROSA DE ARIPARI,BARRANCA,DATEM DEL MARAÑON,NA,NA,No,-76.58064,-4.87161,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,NA,P. falciparum
ULLPAYACU_PASTAZA,ULLPAYACU,PASTAZA,DATEM DEL MARAÑON,1583,NA,No,-76.5878409,-4.6515844,NA,NA,NA,NA,NA,NA,NA,NA,2018,5,3.158559697,P. falciparum
SANTA MARIA DE MANCHARI_ANDOAS,SANTA MARIA DE MANCHARI,ANDOAS,DATEM DEL MARAÑON,148,NA,No,-76.58839833,-3.777825,NA,NA,NA,NA,NA,NA,NA,NA,2018,31,209.4594595,P. falciparum
SANTA MARIA DE MANCHARI_ANDOAS,SANTA MARIA DE MANCHARI,ANDOAS,DATEM DEL MARAÑON,148,NA,No,-76.58876026,-3.77789062,NA,NA,NA,NA,NA,NA,NA,NA,2018,31,209.4594595,P. falciparum
SAN PEDRO DE ARIPARI_CAHUAPANAS,SAN PEDRO DE ARIPARI,CAHUAPANAS,DATEM DEL MARAÑON,NA,NA,No,-76.5895269,-4.91040814,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,NA,P. falciparum
UNGURAHUI DE ARIPARI_CAHUAPANAS,UNGURAHUI DE ARIPARI,CAHUAPANAS,DATEM DEL MARAÑON,44,NA,No,-76.59338526,-4.94343215,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
SAN JOSE_BALSAPUERTO,SAN JOSE,BALSAPUERTO,ALTO AMAZONAS,83,NA,No,-76.59353104,-5.67980817,3992,446,61,61,0,2,Pajonal andino,Pj,2018,0,0,P. falciparum
MONTE ALEGRE_BALSAPUERTO,MONTE ALEGRE,BALSAPUERTO,ALTO AMAZONAS,113,NA,No,-76.59805769,-5.79728046,4003,281,157,157,0,8,Cardonal,Car,2018,5,44.24778761,P. falciparum
SANTA ROSA DEL SABALO_BARRANCA,SANTA ROSA DEL SABALO,BARRANCA,DATEM DEL MARAÑON,257,NA,No,-76.60429983,-4.82871344,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
BUENOS AIRES PARANAPURA_BALSAPUERTO,BUENOS AIRES PARANAPURA,BALSAPUERTO,ALTO AMAZONAS,226,NA,No,-76.60517789,-5.62227189,4026,119,5,5,0,8,Areas de no bosque amazï¿½nico,Ano,2018,0,0,P. falciparum
BUENOS AIRES PARANAPURA_BALSAPUERTO,BUENOS AIRES PARANAPURA,BALSAPUERTO,ALTO AMAZONAS,226,NA,No,-76.60517789,-5.62227189,4167,597,176,176,0,2,Agricultura costera y andina,Agri,2018,0,0,P. falciparum
SABALOYACU_BALSAPUERTO,SABALOYACU,BALSAPUERTO,ALTO AMAZONAS,67,NA,No,-76.60594019,-5.6261782,4167,597,176,176,0,2,Agricultura costera y andina,Agri,2018,0,0,P. falciparum
SAN JUAN DE SABALO_BARRANCA,SAN JUAN DE SABALO,BARRANCA,DATEM DEL MARAÑON,NA,NA,No,-76.6080024,-4.808047436,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,NA,P. falciparum
NUEVO SABALOYACU_BALSAPUERTO,NUEVO SABALOYACU,BALSAPUERTO,ALTO AMAZONAS,62,NA,No,-76.60892652,-5.62138989,4195,615,173,173,0,8,Bosque de montaï¿½a basimontano,Bm,2018,0,0,P. falciparum
MONTE CRISTO_JEBEROS,MONTE CRISTO,JEBEROS,ALTO AMAZONAS,239,NA,No,-76.6107046,-5.40204568,4426,1437,499,499,0,2,Areas de no bosque amazï¿½nico,Ano,2018,0,0,P. falciparum
NUEVO EDEN_ANDOAS,NUEVO EDEN,ANDOAS,DATEM DEL MARAÑON,20,NA,No,-76.61600833,-3.32075,NA,NA,NA,NA,NA,NA,NA,NA,2018,13,650,P. falciparum
SANTA MERCEDES DE PILLINGUE_BALSAPUERTO,SANTA MERCEDES DE PILLINGUE,BALSAPUERTO,ALTO AMAZONAS,NA,NA,No,-76.61636,-5.747346475,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,NA,P. falciparum
BOCA DE CAHUAPANAS_CAHUAPANAS,BOCA DE CAHUAPANAS,CAHUAPANAS,DATEM DEL MARAÑON,73,NA,No,-76.61686692,-4.85951783,NA,NA,NA,NA,NA,NA,NA,NA,2018,0,0,P. falciparum
NUEVO MOYOBAMBA_BALSAPUERTO,NUEVO MOYOBAMBA,BALSAPUERTO,ALTO AMAZONAS,107,NA,No,-76.61824299,-5.68359626,3902,487,24,24,0,8,Areas de no bosque amazï¿½nico,Ano,2018,0,0,P. falciparum
